Id,Chapter Code,Is Subchapter,Is Heading,Is SubHeading,Parent Id,Heading Code,Sub-Heading Code,description,Unit of Quantity,Rate,deleted,orderRank,,,
10001,1,0,1,0,,1.01,,"Live horses, asses, mules and hinnies.",,10,0,10,,,
10002,1,0,0,0,10001,,,- Horses,,10,0,20,,,
10003,1,0,0,1,10002,,0101.21.00,-- Pure-bred breeding animals,u,10,0,30,,,
10004,1,0,0,1,10002,,0101.29.00,-- Other,u,10,0,40,,,
10005,1,0,0,0,10001,,,- Asses:,,10,0,50,,,
10006,1,0,0,1,10005,,0101.30.10,--- Pure-bred breeding animals,u,10,0,60,,,
10007,1,0,0,1,10005,,0101.30.90,--- Other,u,10,0,70,,,
10008,1,0,0,0,10001,,,- Other:,,10,0,80,,,
10009,1,0,0,1,10008,,0101.90.10,--- Pure-bred breeding animals,u,10,0,90,,,
10010,1,0,0,1,10008,,0101.90.90,--- Other,u,10,0,100,,,
10011,1,0,1,0,,1.02,,Live bovine animals.,,10,0,110,,,
10012,1,0,0,0,10011,,,- Cattle:,,10,0,120,,,
10013,1,0,0,1,10012,,0102.21.00,-- Pure-bred breeding animals,u,10,0,130,,,
10014,1,0,0,1,10012,,0102.29.00,-- Other,u,10,0,140,,,
10015,1,0,0,0,10011,,,- Buffalo:,,10,0,150,,,
10016,1,0,0,1,10015,,0102.31.00,-- Pure-bred breeding animals,u,10,0,160,,,
10017,1,0,0,1,10015,,0102.39.00,-- Other,u,10,0,170,,,
10018,1,0,0,0,10011,,,- Other:,,10,0,180,,,
10019,1,0,0,1,10018,,0102.90.10,--- Pure-bred breeding animals,u,10,0,190,,,
10020,1,0,0,1,10018,,0102.90.90,--- Other,u,10,0,200,,,
10021,1,0,1,0,,1.03,,Live swine.,,10,0,210,,,
10022,1,0,0,1,10021,,0103.10.00,- Pure-bred breeding animals,u,10,0,220,,,
10023,1,0,0,0,10021,,,- Other:,,10,0,230,,,
10024,1,0,0,1,10023,,0103.91.00,-- Weighing less than 50kg,u,10,0,240,,,
10025,1,0,0,1,10023,,0103.92.00,-- Weighing 50kgs or more,u,10,0,250,,,
10026,1,0,1,0,,1.04,,Live sheep and goats.,,10,0,260,,,
10027,1,0,0,0,10026,,,- Sheep:,,10,0,270,,,
10028,1,0,0,1,10027,,0104.10.10,--- Pure-bred breeding animals,u,10,0,280,,,
10029,1,0,0,1,10027,,0104.10.90,--- Other,u,10,0,290,,,
10030,1,0,0,0,10026,,,- Goats:,,10,0,300,,,
10031,1,0,0,1,10030,,0104.20.10,--- Pure-bred breeding animals,u,10,0,310,,,
10032,1,0,0,1,10030,,0104.20.90,--- Other,u,10,0,320,,,
10033,1,0,1,0,,1.05,,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",,10,0,330,,,
10034,1,0,0,0,10033,,,- Weighing not more than 185 g:,,10,0,340,,,
10035,1,0,0,1,10034,,0105.11.00,-- Fowls of the species Gallus domesticus,u,10,0,350,,,
10036,1,0,0,1,10034,,0105.12.00,-- Turkeys,u,10,0,360,,,
10037,1,0,0,1,10034,,0105.13.00,-- Ducks,u,10,0,370,,,
10038,1,0,0,1,10034,,0105.14.00,-- Geese,u,10,0,380,,,
10039,1,0,0,1,10034,,0105.15.00,-- Guinea fowls,u,10,0,390,,,
10040,1,0,0,0,10033,,,- Other:,,10,0,400,,,
10041,1,0,0,1,10040,,0105.94.00,-- Fowls of the species Gallus domesticus,u,10,0,410,,,
10042,1,0,0,1,10040,,0105.99.00,-- Other,u,10,0,420,,,
10043,1,0,1,0,,1.06,,Other live animals.,,10,0,430,,,
10044,1,0,0,0,10043,,,- Mammals:,,10,0,440,,,
10045,1,0,0,1,10044,,0106.11.00,-- Primates,u,10,0,450,,,
10046,1,0,0,1,10044,,0106.12.00,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",u,10,0,460,,,
10047,1,0,0,1,10044,,0106.13.00,-- Camels and other camelids (Camelidae),u,10,0,470,,,
10048,1,0,0,1,10044,,0106.14.00,-- Rabbits and hares,u,10,0,480,,,
10049,1,0,0,1,10044,,0106.19.00,-- Other,u,10,0,490,,,
10050,1,0,0,1,10043,,0106.20.00,- Reptiles (including snakes and turtles),u,10,0,500,,,
10051,1,0,0,0,10043,,,- Birds:,,10,0,510,,,
10052,1,0,0,1,10051,,0106.31.00,-- Birds of prey,u,10,0,520,,,
10053,1,0,0,1,10051,,0106.32.00,"-- Psittaciformes (including parrots, parakeets, macaws and
cockatoos)",u,10,0,530,,,
10054,1,0,0,1,10051,,0106.33.00,-- Ostriches, emus (Dromaius novaehollandiae),10,0,540,,,
10055,1,0,0,1,10051,,0106.39.00,-- Other,u,10,0,550,,,
10056,1,0,0,0,10043,,,- Insects:,,10,0,560,,,
10057,1,0,0,1,10056,,0106.41.00,-- Bees,u,10,0,570,,,
10058,1,0,0,1,10056,,0106.49.00,-- Other,u,10,0,580,,,
10059,1,0,0,1,10043,,0106.90.00,- Other,u,10,0,590,,,
10060,2,0,1,0,,2.01,,"Meat of bovine animals, fresh or chilled.",,10,0,600,,,
10061,2,0,0,1,10060,,0201.10.00,- Carcasses and half-carcasses,kg,5,0,610,,,
10062,2,0,0,1,10060,,0201.20.00,- Other cuts with bone in,kg,5,0,620,,,
10063,2,0,0,1,10060,,0201.30.00,- Boneless,kg,5,0,630,,,
10064,2,0,1,0,,2.02,,"Meat of bovine animals, frozen.",,10,0,640,,,
10065,2,0,0,1,10064,,0202.10.00,- Carcasses and half-carcasses,kg,5,0,650,,,
10066,2,0,0,1,10064,,0202.20.00,- Other cuts with bone in,kg,5,0,660,,,
