Id,Is Subchapter,Is Heading,Is SubHeading,Parent Id,Heading Code,Sub-Heading Code,description,Unit of Quantity,Rate,deleted,Order Rank,,,,
1,0,1,0,1,1.01,,"Live horses, asses, mules and hinnies.",,10,0,10,,,,
2,0,0,0,1,,,#NAME?,,10,0,20,,,,
3,0,0,1,2,,0101.21.00,Err:509,u,10,0,30,,,,
4,0,0,1,2,,0101.29.00,#NAME?,u,10,0,40,,,,
5,0,0,0,1,,,- Asses:,,10,0,50,,,,
6,0,0,1,5,,0101.30.10,Err:509,u,10,0,60,,,,
7,0,0,1,5,,0101.30.90,#NAME?,u,10,0,70,,,,
8,0,0,0,1,,,- Other:,,10,0,80,,,,
9,0,0,1,8,,0101.90.10,Err:509,u,10,0,90,,,,
10,0,0,1,8,,0101.90.90,#NAME?,u,10,0,100,,,,
11,0,1,0,8,1.02,,Live bovine animals.,,10,0,110,,,,
12,0,0,0,11,,,- Cattle:,,10,0,120,,,,
13,0,0,1,12,,0102.21.00,Err:509,u,10,0,130,,,,
14,0,0,1,12,,0102.29.00,#NAME?,u,10,0,140,,,,
15,0,0,0,11,,,- Buffalo:,,10,0,150,,,,
16,0,0,1,15,,0102.31.00,Err:509,u,10,0,160,,,,
17,0,0,1,15,,0102.39.00,#NAME?,u,10,0,170,,,,
18,0,0,0,11,,,- Other:,,10,0,180,,,,
19,0,0,1,18,,0102.90.10,Err:509,u,10,0,190,,,,
20,0,0,1,18,,0102.90.90,#NAME?,u,10,0,200,,,,
21,0,1,0,20,1.03,,Live swine.,,10,0,210,,,,
22,0,0,1,21,,0103.10.00,Err:509,u,10,0,220,,,,
23,0,0,0,21,,,- Other:,,10,0,230,,,,
24,0,0,1,23,,0103.91.00,-- Weighing less than 50kg,u,10,0,240,,,,
25,0,0,1,23,,0103.92.00,-- Weighing 50kgs or more,u,10,0,250,,,,
26,0,1,0,24,1.04,,Live sheep and goats,,10,0,260,,,,
27,0,0,0,26,,,- Sheep:,,10,0,270,,,,
28,0,0,1,27,,0104.10.10,Err:509,u,10,0,280,,,,
29,0,0,1,27,,0104.10.90,#NAME?,u,10,0,290,,,,
30,0,0,0,26,,,- Goats:,,10,0,300,,,,
31,0,0,1,30,,0104.20.10,Err:509,u,10,0,310,,,,
32,0,0,1,30,,0104.20.90,#NAME?,u,10,0,320,,,,
33,0,1,0,31,1.05,,"Live poultry, that is to say, fowls of the species Gallus domesticus, ducks, geese, turkeys and guinea fowls.",,10,0,330,,,,
34,0,0,0,33,,,- Weighing not more than 185 g:,,10,0,340,,,,
35,0,0,1,34,,0105.11.00,Err:509,u,10,0,350,,,,
36,0,0,1,34,,0105.12.00,-- Turkeys:,u,10,0,360,,,,
37,0,0,1,34,,0105.13.00,#NAME?,u,10,0,370,,,,
38,0,0,1,34,,0105.14.00,#NAME?,u,10,0,380,,,,
39,0,0,1,34,,0105.15.00,Err:509,u,10,0,390,,,,
40,0,0,0,33,,,- Other:,,10,0,400,,,,
41,0,0,1,40,,0105.94.00,Err:509,u,10,0,410,,,,
42,0,0,1,40,,0105.99.00,#NAME?,u,10,0,420,,,,
43,0,1,1,40,1.06,0106.00.00,Other live animals,,10,0,430,,,,
44,0,0,0,43,,,- Mammals:,,10,0,440,,,,
45,0,0,1,44,,0106.11.00,#NAME?,u,10,0,450,,,,
46,0,0,1,44,,0106.12.00,"-- Whales, dolphins and porpoises (mammals of the order Cetacea); manatees and dugongs (mammals of the order Sirenia); seals, sea lions and walruses (mammals of the suborder Pinnipedia)",u,10,0,460,,,,
47,0,0,1,44,,0106.13.00,Err:509,u,10,0,470,,,,
48,0,0,1,44,,0106.14.00,Err:509,u,10,0,480,,,,
49,0,0,1,44,,0106.19.00,#NAME?,u,10,0,490,,,,
50,0,0,1,43,,0106.20.00,Err:509,u,10,0,500,,,,
51,0,0,0,43,,,- Birds:,,10,0,510,,,,
52,0,0,1,51,,0106.31.00,Err:509,u,10,0,520,,,,
53,0,0,1,51,,0106.32.00,Err:509,u,10,0,530,,,,
54,0,0,1,51,,0106.33.00,#NAME?, emus (Dromaius novaehollandiae),10,0,0,540,,,
55,0,0,1,51,,0106.39.00,#NAME?,u,10,0,550,,,,
56,0,0,0,43,,,- Insects:,,10,0,560,,,,
57,0,0,1,56,,0106.41.00,#NAME?,u,10,0,570,,,,
58,0,0,1,57,,0106.49.00,#NAME?,u,10,0,580,,,,
59,0,0,1,43,,0106.90.00,#NAME?,u,10,0,590,,,,
60,0,1,0,45,2.01,,"Meat of bovine animals, fresh or chilled.",,10,0,600,,,,
61,0,0,1,60,,0201.10.00,Err:509,kg,5,0,610,,,,
62,0,0,1,60,,0201.20.00,Err:509,kg,5,0,620,,,,
63,0,0,1,60,,0201.30.00,#NAME?,kg,5,0,630,,,,
64,0,1,0,62,2.02,,"Meat of bovine animals, frozen.",,10,0,640,,,,
65,0,0,1,64,,0202.10.00,Err:509,kg,5,0,650,,,,
66,0,0,1,64,,0202.20.00,Err:509,kg,5,0,660,,,,
67,0,0,1,64,,0202.30.00,#NAME?,kg,5,0,670,,,,
68,0,1,0,65,2.03,,"Meat of swine, fresh, chilled or frozen.",kg,5,0,680,,,,
69,0,0,0,68,,,- Fresh or chilled:,,10,0,690,,,,
70,0,0,1,69,,0203.11.00,Err:509,kg,5,0,700,,,,
71,0,0,1,69,,0203.12.00,Err:509,kg,5,0,710,,,,
72,0,0,1,69,,0203.19.00,#NAME?,kg,5,0,720,,,,
73,0,0,0,68,,,- Frozen:,,10,0,730,,,,
74,0,0,1,73,,0203.21.00,Err:509,kg,5,0,740,,,,
75,0,0,1,73,,0203.22.00,Err:509,kg,5,0,750,,,,
76,0,0,1,73,,0203.29.00,#NAME?,kg,5,0,760,,,,
77,0,1,0,75,2.04,,"Meat of sheep or goats, fresh, chilled or frozen.",,10,0,770,,,,
78,0,0,1,77,,0204.10.00,Err:509,kg,5,0,780,,,,
79,0,0,0,77,,,"- Other meat of sheep, fresh or chilled:",,10,0,790,,,,
80,0,0,1,79,,0204.21.00,Err:509,kg,5,0,800,,,,
81,0,0,1,79,,0204.22.00,Err:509,kg,5,0,810,,,,
82,0,0,1,79,,0204.23.00,#NAME?,kg,5,0,820,,,,
83,0,0,1,77,,0204.30.00,Err:509,kg,5,0,830,,,,
84,0,0,0,77,,,"- Other meat of sheep, frozen:",,10,0,840,,,,
85,0,0,1,84,,0204.41.00,Err:509,kg,5,0,850,,,,
86,0,0,1,84,,0204.42.00,Err:509,kg,5,0,860,,,,
87,0,0,1,84,,0204.43.00,#NAME?,kg,5,0,870,,,,
88,0,0,1,77,,0204.50.00,Err:509,kg,5,0,880,,,,
89,0,1,1,80,2.05,0205.00.00,"Meat of horses, asses, mules or hinnies, fresh,
chilled or frozen.",kg,5,0,890,,,,
90,0,1,0,80,2.06,,"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules or hinnies, fresh chilled or frozen",,10,0,900,,,,
91,0,0,1,90,,0206.10.00,Err:509,kg,5,0,910,,,,
92,0,0,0,90,,,"- Of bovine animals, frozen:",,10,0,920,,,,
93,0,0,1,92,,0206.21.00,#NAME?,kg,5,0,930,,,,
94,0,0,1,92,,0206.22.00,#NAME?,kg,5,0,940,,,,
95,0,0,1,92,,0206.29.00,#NAME?,kg,5,0,950,,,,
96,0,0,1,90,,0206.30.00,Err:509,kg,5,0,960,,,,
97,0,0,0,90,,,"- Of swine, frozen:",,10,0,970,,,,
98,0,0,1,97,,0206.41.00,#NAME?,kg,5,0,980,,,,
99,0,0,1,97,,0206.49.00,#NAME?,kg,5,0,990,,,,
100,0,0,1,90,,0206.80.00,Err:509,kg,5,0,1000,,,,
101,0,0,1,90,,0206.90.00,Err:509,kg,5,0,1010,,,,
102,0,1,0,,2.07,,"Meat and edible offal, of the poultry of heading 01.05, fresh, chilled or frozen.",kg,5,0,1020,,,,
103,0,0,0,102,,,- Of fowls of the species Gallus domesticus:,,10,0,1030,,,,
104,0,0,1,103,,0207.11.00,Err:509,kg,10,0,1040,,,,
105,0,0,1,103,,0207.12.00,Err:509,kg,5,0,1050,,,,
106,0,0,1,103,,0207.13.00,Err:509,kg,5,0,1060,,,,
107,0,0,1,103,,0207.14.00,Err:509,kg,5,0,1070,,,,
